Planner,ProblemDim,Time,Actions
sgplan40,2,0.004723548889160156,8.0
sgplan40,2,0.008027791976928711,8.0
sgplan40,2,0.007854700088500977,8.0
sgplan40,3,0.009366750717163086,13.0
sgplan40,3,0.009313821792602539,13.0
sgplan40,3,0.008884429931640625,13.0
sgplan40,4,0.011227607727050781,18.0
sgplan40,4,0.011857271194458008,18.0
sgplan40,4,0.011426687240600586,18.0
sgplan40,5,0.01400136947631836,22.0
sgplan40,5,0.013850927352905273,22.0
sgplan40,5,0.014015436172485352,22.0
sgplan40,6,0.018871307373046875,27.0
sgplan40,6,0.018725872039794922,27.0
sgplan40,6,0.019448041915893555,27.0
sgplan40,7,0.027702808380126953,30.0
sgplan40,7,0.027945995330810547,30.0
sgplan40,7,0.026889801025390625,30.0
sgplan40,8,0.029626131057739258,36.0
sgplan40,8,0.020464658737182617,36.0
sgplan40,8,0.01360011100769043,36.0
sgplan40,9,0.013788938522338867,41.0
sgplan40,9,0.011436700820922852,41.0
sgplan40,9,0.010810375213623047,41.0
sgplan40,10,0.011788368225097656,43.0
sgplan40,10,0.010836601257324219,43.0
sgplan40,10,0.01395416259765625,43.0
sgplan40,2,0.004128694534301758,8.0
sgplan40,2,0.0021066665649414062,8.0
sgplan40,2,0.0017423629760742188,8.0
sgplan40,3,0.002043485641479492,13.0
sgplan40,3,0.0020105838775634766,13.0
sgplan40,3,0.002127408981323242,13.0
sgplan40,4,0.0024662017822265625,18.0
sgplan40,4,0.002559185028076172,18.0
sgplan40,4,0.0036232471466064453,18.0
sgplan40,5,0.003437042236328125,22.0
sgplan40,5,0.0032668113708496094,22.0
sgplan40,5,0.0033087730407714844,22.0
sgplan40,6,0.005693674087524414,27.0
sgplan40,6,0.005339384078979492,27.0
sgplan40,6,0.005076169967651367,27.0
sgplan40,7,0.01284170150756836,30.0
sgplan40,7,0.015382766723632812,30.0
sgplan40,7,0.01793050765991211,30.0
sgplan40,8,0.015991926193237305,36.0
sgplan40,8,0.013207435607910156,36.0
sgplan40,8,0.012825250625610352,36.0
sgplan40,9,0.022616147994995117,41.0
sgplan40,9,0.019593238830566406,41.0
sgplan40,9,0.018428802490234375,41.0
sgplan40,10,0.023105144500732422,43.0
sgplan40,10,0.02039504051208496,43.0
sgplan40,10,0.02011251449584961,43.0
sgplan40,2,0.001795053482055664,8.0
sgplan40,2,0.001795053482055664,8.0
sgplan40,2,0.001720428466796875,8.0
sgplan40,3,0.0022211074829101562,13.0
sgplan40,3,0.0021986961364746094,13.0
sgplan40,3,0.0022263526916503906,13.0
sgplan40,4,0.002648591995239258,18.0
sgplan40,4,0.0026788711547851562,18.0
sgplan40,4,0.0034608840942382812,18.0
sgplan40,5,0.003584623336791992,22.0
sgplan40,5,0.0036208629608154297,22.0
sgplan40,5,0.00382232666015625,22.0
sgplan40,6,0.006165742874145508,27.0
sgplan40,6,0.005799055099487305,27.0
sgplan40,6,0.006072044372558594,27.0
sgplan40,7,0.010875940322875977,30.0
sgplan40,7,0.011865377426147461,30.0
sgplan40,7,0.014491558074951172,30.0
sgplan40,8,0.019587993621826172,36.0
sgplan40,8,0.018390893936157227,36.0
sgplan40,8,0.01858830451965332,36.0
sgplan40,9,0.02714848518371582,41.0
sgplan40,9,0.027055978775024414,41.0
sgplan40,9,0.02834343910217285,41.0
sgplan40,10,0.030489444732666016,43.0
sgplan40,10,0.036681413650512695,43.0
sgplan40,10,0.04283261299133301,43.0
