Planner,ProblemDim,Time,Actions
ff,2,0.00139617919921875,0
ff,2,0.001363515853881836,0
ff,2,0.0011560916900634766,0
ff,2,0.0012011528015136719,0
ff,2,0.0012149810791015625,0
ff,3,0.0016410350799560547,0
ff,3,0.0018177032470703125,0
ff,3,0.001253366470336914,0
ff,3,0.0013730525970458984,0
ff,3,0.0014111995697021484,0
ff,4,0.0013718605041503906,0
ff,4,0.0014116764068603516,0
ff,4,0.001251220703125,0
ff,4,0.0011234283447265625,0
ff,4,0.0010602474212646484,0
ff,5,0.0016846656799316406,0
ff,5,0.0013709068298339844,0
ff,5,0.0012035369873046875,0
ff,5,0.00116729736328125,0
ff,5,0.0013446807861328125,0
ff,6,0.001287221908569336,0
ff,6,0.0012314319610595703,0
ff,6,0.0013108253479003906,0
ff,6,0.0018274784088134766,0
ff,6,0.0014770030975341797,0
ff,7,0.001399993896484375,0
ff,7,0.0013439655303955078,0
ff,7,0.0014221668243408203,0
ff,7,0.0015327930450439453,0
ff,7,0.0012316703796386719,0
ff,8,0.0017647743225097656,0
ff,8,0.0014061927795410156,0
ff,8,0.0012073516845703125,0
ff,8,0.0012249946594238281,0
ff,8,0.0016450881958007812,0
ff,9,0.001430511474609375,0
ff,9,0.0012907981872558594,0
ff,9,0.001657724380493164,0
ff,9,0.0012660026550292969,0
ff,9,0.0012197494506835938,0
