,Planner,ProblemDim,Actions,Time,Cost
116,downward.sif --alias seq-opt-bjolp,6,30,6.64624,581.0
117,downward.sif --alias seq-opt-fdss-2,2,10,0.00523466,144.0
118,downward.sif --alias seq-opt-fdss-2,3,15,0.0072436,396.0
119,downward.sif --alias seq-opt-fdss-2,4,20,0.0177976,508.0
120,downward.sif --alias seq-opt-fdss-2,5,23,0.246074,731.0
121,downward.sif --alias seq-opt-fdss-2,6,30,0.683451,581.0
122,downward.sif --alias seq-opt-fdss-2,7,33,10.2188,651.0
123,downward.sif --alias seq-opt-fdss-2,8,40,3.51162,799.0
124,metricff,2,6,0.0025310516357421,276.0
125,metricff,3,11,0.0033249855041503,890.0
126,metricff,4,16,0.0044255256652832,1764.0
127,metricff,5,20,0.0059521198272705,2249.0
128,metricff,6,25,0.012927770614624,1817.0
129,metricff,7,28,0.021827220916748,2100.0
130,metricff,8,34,0.0247814655303955,2582.0
131,metricff,9,39,0.0417835712432861,3098.0
132,metricff,10,41,0.0341596603393554,3658.0
