Planner,ProblemDim,Time,Actions,Cost
metricff,2,0.002447843551635742,6,276.0
metricff,2,0.002424955368041992,6,276.0
metricff,2,0.0032181739807128906,6,276.0
metricff,2,0.0027740001678466797,6,276.0
metricff,2,0.0023241043090820312,6,276.0
metricff,3,0.0030617713928222656,11,890.0
metricff,3,0.0030736923217773438,11,890.0
metricff,3,0.003329038619995117,11,890.0
metricff,3,0.0033965110778808594,11,890.0
metricff,3,0.0031714439392089844,11,890.0
metricff,4,0.005781412124633789,16,1764.0
metricff,4,0.005728483200073242,16,1764.0
metricff,4,0.004654645919799805,16,1764.0
metricff,4,0.004706144332885742,16,1764.0
metricff,4,0.004853487014770508,16,1764.0
metricff,5,0.006255388259887695,20,2249.0
metricff,5,0.007986783981323242,20,2249.0
metricff,5,0.006494045257568359,20,2249.0
metricff,5,0.006189107894897461,20,2249.0
metricff,5,0.006771564483642578,20,2249.0
metricff,6,0.01334691047668457,25,1817.0
metricff,6,0.011883258819580078,25,1817.0
metricff,6,0.011661291122436523,25,1817.0
metricff,6,0.01361536979675293,25,1817.0
metricff,6,0.011479377746582031,25,1817.0
metricff,7,0.023610830307006836,28,2100.0
metricff,7,0.022825002670288086,28,2100.0
metricff,7,0.022717952728271484,28,2100.0
metricff,7,0.023815631866455078,28,2100.0
metricff,7,0.023554086685180664,28,2100.0
metricff,8,0.024919748306274414,34,2582.0
metricff,8,0.023444175720214844,34,2582.0
metricff,8,0.023846149444580078,34,2582.0
metricff,8,0.023946762084960938,34,2582.0
metricff,8,0.02405691146850586,34,2582.0
metricff,9,0.04498791694641113,39,3098.0
metricff,9,0.04834699630737305,39,3098.0
metricff,9,0.04476737976074219,39,3098.0
metricff,9,0.04707956314086914,39,3098.0
metricff,9,0.04532766342163086,39,3098.0
metricff,10,0.06014728546142578,41,3658.0
metricff,10,0.04841756820678711,41,3658.0
metricff,10,0.03708314895629883,41,3658.0
metricff,10,0.03738546371459961,41,3658.0
metricff,10,0.03587174415588379,41,3658.0
metricff,11,0.0019903182983398438,0,0.0
metricff,11,0.0020291805267333984,0,0.0
metricff,11,0.0018470287322998047,0,0.0
metricff,11,0.002069711685180664,0,0.0
metricff,11,0.0018069744110107422,0,0.0
metricff,12,0.0018990039825439453,0,0.0
metricff,12,0.0018718242645263672,0,0.0
metricff,12,0.0019431114196777344,0,0.0
metricff,12,0.001886129379272461,0,0.0
metricff,12,0.0019068717956542969,0,0.0
metricff,13,0.0019969940185546875,0,0.0
metricff,13,0.0020630359649658203,0,0.0
metricff,13,0.001943826675415039,0,0.0
metricff,13,0.0022339820861816406,0,0.0
metricff,13,0.0024514198303222656,0,0.0
metricff,14,0.0028913021087646484,0,0.0
metricff,14,0.0025899410247802734,0,0.0
metricff,14,0.002122640609741211,0,0.0
metricff,14,0.0020554065704345703,0,0.0
metricff,14,0.001980304718017578,0,0.0
metricff,15,0.0022487640380859375,0,0.0
metricff,15,0.0021452903747558594,0,0.0
metricff,15,0.0020346641540527344,0,0.0
metricff,15,0.0020792484283447266,0,0.0
metricff,15,0.0023260116577148438,0,0.0
metricff,16,0.0023038387298583984,0,0.0
metricff,16,0.0022301673889160156,0,0.0
metricff,16,0.002317190170288086,0,0.0
metricff,16,0.0037720203399658203,0,0.0
metricff,16,0.0025305747985839844,0,0.0
metricff,17,0.09400677680969238,0,0.0
metricff,17,0.0929574966430664,0,0.0
metricff,17,0.09389948844909668,0,0.0
metricff,17,0.09235930442810059,0,0.0
metricff,17,0.11667394638061523,0,0.0
metricff,18,0.09822463989257812,0,0.0
metricff,18,0.09406638145446777,0,0.0
metricff,18,0.0904383659362793,0,0.0
metricff,18,0.09009265899658203,0,0.0
metricff,18,0.09700632095336914,0,0.0
metricff,19,0.10984158515930176,0,0.0
metricff,19,0.12270712852478027,0,0.0
metricff,19,0.18221116065979004,0,0.0
metricff,19,0.12823748588562012,0,0.0
metricff,19,0.1156759262084961,0,0.0
metricff,20,0.11410164833068848,0,0.0
metricff,20,0.10516881942749023,0,0.0
metricff,20,0.10260629653930664,0,0.0
metricff,20,0.10906481742858887,0,0.0
metricff,20,0.10969734191894531,0,0.0
metricff,21,0.10837602615356445,0,0.0
metricff,21,0.10093855857849121,0,0.0
metricff,21,0.10065269470214844,0,0.0
metricff,21,0.09769439697265625,0,0.0
metricff,21,0.10748124122619629,0,0.0
metricff,22,0.09844112396240234,0,0.0
metricff,22,0.09748482704162598,0,0.0
metricff,22,0.09627652168273926,0,0.0
metricff,22,0.10078120231628418,0,0.0
metricff,22,0.09908390045166016,0,0.0
metricff,23,0.09358739852905273,0,0.0
metricff,23,0.0948793888092041,0,0.0
metricff,23,0.1012275218963623,0,0.0
metricff,23,0.09810018539428711,0,0.0
metricff,23,0.09840846061706543,0,0.0
metricff,24,0.0965433120727539,0,0.0
metricff,24,0.09655404090881348,0,0.0
metricff,24,0.09525704383850098,0,0.0
metricff,24,0.0961618423461914,0,0.0
metricff,24,0.09568572044372559,0,0.0
metricff,25,0.09671759605407715,0,0.0
