Planner,ProblemDim,Time,Actions
sgplan40,2,0.008477449417114258,6.0
sgplan40,2,0.0016448497772216797,6.0
sgplan40,2,0.0016024112701416016,6.0
sgplan40,3,0.0017902851104736328,11.0
sgplan40,3,0.0016775131225585938,11.0
sgplan40,3,0.0016930103302001953,11.0
sgplan40,4,0.0022401809692382812,14.0
sgplan40,4,0.0021979808807373047,14.0
sgplan40,4,0.0021681785583496094,14.0
sgplan40,5,0.0022487640380859375,21.0
sgplan40,5,0.002193927764892578,21.0
sgplan40,5,0.0021910667419433594,21.0
sgplan40,6,0.0037870407104492188,23.0
sgplan40,6,0.002907276153564453,23.0
sgplan40,6,0.002477884292602539,23.0
sgplan40,7,0.003467082977294922,28.0
sgplan40,7,0.0035309791564941406,28.0
sgplan40,7,0.003963470458984375,28.0
sgplan40,8,0.004714012145996094,35.0
sgplan40,8,0.0044879913330078125,35.0
sgplan40,8,0.0044918060302734375,35.0
sgplan40,9,0.00682830810546875,37.0
sgplan40,9,0.007590532302856445,37.0
sgplan40,9,0.007693290710449219,37.0
sgplan40,10,0.010456323623657227,41.0
sgplan40,10,0.011120319366455078,41.0
sgplan40,10,0.011144399642944336,41.0
sgplan40,11,0.01708841323852539,41.0
sgplan40,11,0.02087545394897461,41.0
sgplan40,11,0.0204007625579834,41.0
sgplan40,12,0.01759481430053711,44.0
sgplan40,12,0.017143964767456055,44.0
sgplan40,12,0.020691871643066406,44.0
sgplan40,13,0.022050857543945312,50.0
sgplan40,13,0.02423882484436035,50.0
sgplan40,13,0.02246379852294922,50.0
sgplan40,14,0.03501391410827637,56.0
sgplan40,14,0.03445911407470703,56.0
sgplan40,14,0.03797578811645508,56.0
sgplan40,15,0.021982669830322266,70.0
sgplan40,15,0.0211789608001709,70.0
sgplan40,15,0.02062225341796875,70.0
sgplan40,16,0.03130817413330078,71.0
sgplan40,16,0.018890857696533203,71.0
sgplan40,16,0.01617264747619629,71.0
sgplan40,17,0.027147531509399414,70.0
sgplan40,17,0.026845455169677734,70.0
sgplan40,17,0.024801254272460938,70.0
sgplan40,18,0.02464580535888672,77.0
sgplan40,18,0.024724483489990234,77.0
sgplan40,18,0.026074886322021484,77.0
sgplan40,19,0.03987765312194824,76.0
sgplan40,19,0.04085397720336914,76.0
sgplan40,19,0.06618714332580566,76.0
sgplan40,20,0.1500871181488037,87.0
sgplan40,20,0.15679287910461426,87.0
sgplan40,20,0.1565392017364502,87.0
sgplan40,21,0.1839284896850586,82.0
sgplan40,21,0.18044066429138184,82.0
sgplan40,21,0.17690587043762207,82.0
sgplan40,22,0.26131510734558105,95.0
sgplan40,22,0.2080702781677246,95.0
sgplan40,22,0.24641919136047363,95.0
sgplan40,23,0.2620518207550049,102.0
sgplan40,23,0.2739677429199219,102.0
sgplan40,23,0.2897472381591797,102.0
sgplan40,24,0.298145055770874,105.0
sgplan40,24,0.10120439529418945,105.0
sgplan40,24,0.10087752342224121,105.0
sgplan40,25,0.2037339210510254,109.0
sgplan40,25,0.33732008934020996,109.0
sgplan40,25,0.1145474910736084,109.0
sgplan40,26,0.21544742584228516,111.0
sgplan40,26,0.2886059284210205,111.0
sgplan40,26,0.2671084403991699,111.0
sgplan40,27,0.3412611484527588,118.0
sgplan40,27,0.25438666343688965,118.0
sgplan40,27,0.36723828315734863,118.0
sgplan40,28,0.2690093517303467,118.0
sgplan40,28,0.35840916633605957,118.0
sgplan40,28,0.30413150787353516,118.0
sgplan40,29,0.3391866683959961,129.0
sgplan40,29,0.29060912132263184,129.0
sgplan40,29,0.3486135005950928,129.0
sgplan40,30,0.33878517150878906,131.0
sgplan40,30,0.35937023162841797,131.0
sgplan40,30,0.36808347702026367,131.0
sgplan40,31,0.3041048049926758,137.0
sgplan40,31,0.29663729667663574,137.0
sgplan40,31,0.2947084903717041,137.0
sgplan40,32,0.5024304389953613,139.0
