,Planner,ProblemDim,Actions,Time
145,lpg-td,106,422.0,9.03088108698527
146,lpg-td,107,441.0,9.844719727834066
147,lpg-td,108,434.0,11.219195206960043
148,lpg-td,109,436.0,11.824402014414469
149,lpg-td,110,422.0,19.662627935409546
150,lpg-td,111,426.0,18.520901838938396
151,lpg-td,112,435.0,18.877940893173218
152,lpg-td,113,432.0,22.93758749961853
153,lpg-td,114,441.0,20.694400389989216
154,lpg-td,115,441.0,23.92793615659078
155,lpg-td,116,463.0,23.412486394246418
156,lpg-td,117,457.0,21.409899870554607
157,lpg-td,118,467.0,24.097540696461994
158,lpg-td,119,468.0,24.796573082606
159,lpg-td,120,462.0,23.80438168843587
160,lpg-td,121,480.0,25.039236625035603
161,lpg-td,122,476.0,27.85018976529439
162,lpg-td,123,485.0,28.49573024113973
163,lpg-td,124,487.0,27.760371208190918
164,lpg-td,125,495.0,25.991724967956543
165,lpg-td,126,500.0,31.03695273399353
166,lpg-td,127,501.0,30.899353583653767
167,lpg-td,128,499.0,32.709025144577026
168,lpg-td,129,509.0,29.899290800094604
169,lpg-td,130,518.0,31.223771731058758
170,lpg-td,131,516.0,33.132181326548256
171,lpg-td,132,515.0,33.48704592386881
172,lpg-td,133,535.0,35.19787446657816
173,lpg-td,134,538.0,32.801264921824135
174,lpg-td,135,548.0,34.86568856239319
175,lpg-td,136,531.0,42.74043472607931
176,lpg-td,137,558.0,34.685099840164185
177,lpg-td,138,549.0,37.16658171017965
178,lpg-td,139,551.0,42.259860833485924
179,lpg-td,140,563.0,40.73298112551371
180,lpg-td,141,565.0,33.86518406867981
181,lpg-td,142,572.0,34.51466830571493
182,lpg-td,143,566.0,36.69993575414022
183,lpg-td,144,570.0,54.65910784403483
184,lpg-td,145,574.0,42.63230721155802
185,lpg-td,146,588.0,38.21641945838928
186,lpg-td,147,587.0,37.92750851313273
187,lpg-td,148,597.0,41.57368938128153
188,lpg-td,149,591.0,46.559932788213096
189,lpg-td,150,598.0,55.02158856391907
190,lpg-td,151,613.0,43.11047554016113
191,lpg-td,152,615.0,43.48176638285319
192,lpg-td,153,621.0,50.50203331311544
193,lpg-td,154,621.0,47.3525927066803
194,lpg-td,155,612.0,50.51698486010233
195,lpg-td,156,632.0,50.6695245107015
196,lpg-td,157,632.0,54.69684704144796
197,lpg-td,158,626.0,76.20615649223328
198,sgplan40,2,6.0,0.003908236821492467
199,sgplan40,3,11.0,0.0017202695210774
200,sgplan40,4,14.0,0.0022021134694417
201,sgplan40,5,21.0,0.0022112528483072334
202,sgplan40,6,23.0,0.0030574003855387
203,sgplan40,7,28.0,0.0036538441975911
204,sgplan40,8,35.0,0.0045646031697590675
205,sgplan40,9,37.0,0.0073707103729247665
206,sgplan40,10,41.0,0.010907014211018834
207,sgplan40,11,41.0,0.019454876581827766
208,sgplan40,12,44.0,0.018476883570353167
209,sgplan40,13,50.0,0.022917826970418265
210,sgplan40,14,56.0,0.035816272099812765
211,sgplan40,15,70.0,0.021261294682820602
212,sgplan40,16,71.0,0.02212389310201003
213,sgplan40,17,70.0,0.026264746983846
214,sgplan40,18,77.0,0.025148391723632767
215,sgplan40,19,76.0,0.048972924550374296
216,sgplan40,20,87.0,0.15447306632995603
217,sgplan40,21,82.0,0.1804250081380208
218,sgplan40,22,95.0,0.23860152562459305
219,sgplan40,23,102.0,0.27525560061136883
220,sgplan40,24,105.0,0.16674232482910153
221,sgplan40,25,109.0,0.2185338338216146
222,sgplan40,26,111.0,0.2570539315541585
223,sgplan40,27,118.0,0.32096203168233234
224,sgplan40,28,118.0,0.3105166753133138
225,sgplan40,29,129.0,0.32613643010457355
226,sgplan40,30,131.0,0.3554129600524902
227,sgplan40,31,137.0,0.29848353068033856
228,sgplan40,32,139.0,0.5002346038818359
229,sgplan40,33,136.0,0.3870251973470052
230,sgplan40,34,148.0,0.4640105565388997
231,sgplan40,35,150.0,0.6014856497446696
232,sgplan40,36,153.0,0.5963823000590006
233,sgplan40,37,159.0,1.037976821263631
234,sgplan40,38,165.0,0.861382802327474
235,sgplan40,39,170.0,0.9805904229482015
236,sgplan40,40,157.0,0.7036248048146566
237,sgplan40,41,164.0,1.0291566848754883
238,sgplan40,42,188.0,1.4444080193837483
239,sgplan40,43,187.0,1.464462677637736
240,sgplan40,44,180.0,1.407451868057251
241,sgplan40,45,189.0,1.4067095120747883
242,sgplan40,46,196.0,1.9104453722635906
243,sgplan40,47,202.0,2.085326592127482
244,sgplan40,48,201.0,1.797137180964152
245,sgplan40,49,207.0,1.8693369229634602
246,sgplan40,50,203.0,1.7431113719940186
247,sgplan40,51,214.0,2.075092633565267
248,sgplan40,52,213.0,3.083972454071045
249,sgplan40,53,219.0,3.2872583866119385
250,sgplan40,54,222.0,2.739098072052002
251,sgplan40,55,236.0,3.5358922481536865
252,sgplan40,56,256.0,3.965192953745524
253,sgplan40,57,256.0,4.062386671702067
254,sgplan40,58,259.0,4.153793017069499
255,sgplan40,59,262.0,4.80794342358907
256,sgplan40,60,268.0,6.7785288492838545
257,sgplan40,61,270.0,5.894817431767781
258,sgplan40,62,275.0,6.085453192392985
259,sgplan40,63,277.0,5.454724470774333
260,sgplan40,64,289.0,7.53567377726237
261,sgplan40,65,289.0,6.774317502975464
262,sgplan40,66,289.0,9.24429170290629
263,sgplan40,67,283.0,8.2311802705129
264,sgplan40,68,278.0,9.521576642990112
265,sgplan40,69,296.0,10.156354586283365
266,sgplan40,70,288.0,9.454481919606527
267,sgplan40,71,294.0,11.237621068954468
268,sgplan40,72,293.0,10.510180234909056
269,sgplan40,73,320.0,13.02553137143453
270,sgplan40,74,313.0,15.979511817296347
271,sgplan40,75,309.0,12.101683855056763
272,sgplan40,76,341.0,15.949569463729858
273,sgplan40,77,347.0,17.66058921813965
274,sgplan40,78,345.0,14.567887862523397
275,sgplan40,79,331.0,13.187044302622477
276,sgplan40,80,312.0,15.35160001118978
277,sgplan40,81,314.0,12.95837394396464
278,sgplan40,82,359.0,22.91113257408142
279,sgplan40,83,363.0,22.080761035283405
280,sgplan40,84,371.0,20.30630572636922
281,sgplan40,85,368.0,25.50792654355367
282,sgplan40,86,375.0,29.617797374725342
283,sgplan40,87,390.0,39.32337212562561
284,sgplan40,88,385.0,34.92439977327982
285,sgplan40,89,361.0,33.35226241747538
286,sgplan40,90,390.0,36.741082509358726
287,sgplan40,91,390.0,40.0591516494751
288,sgplan40,92,389.0,35.45810047785441
289,sgplan40,93,372.0,47.755141735076904
290,sgplan40,94,403.0,44.55011693636576
291,sgplan40,95,420.0,53.69011362393697
292,sgplan40,96,402.0,41.18587199846903
293,sgplan40,97,393.0,64.84417239824931
