Planner,ProblemDim,Time,Actions
lpg-td,80,3.391735076904297,315.0
lpg-td,80,3.4412882328033447,315.0
lpg-td,80,3.4741342067718506,315.0
lpg-td,81,3.435368299484253,322.0
lpg-td,81,3.412008285522461,322.0
lpg-td,81,3.434307098388672,322.0
lpg-td,82,3.4294259548187256,323.0
lpg-td,82,3.419971227645874,323.0
lpg-td,82,3.44543194770813,323.0
lpg-td,83,3.7931954860687256,337.0
lpg-td,83,3.6248373985290527,337.0
lpg-td,83,3.7770187854766846,337.0
lpg-td,84,4.075689315795898,335.0
lpg-td,84,4.046914577484131,335.0
lpg-td,84,3.9772164821624756,335.0
lpg-td,85,7.1809401512146,341.0
lpg-td,85,7.256136655807495,341.0
lpg-td,85,7.136225938796997,341.0
lpg-td,86,4.170435190200806,350.0
lpg-td,86,4.192588806152344,350.0
lpg-td,86,4.182131052017212,350.0
lpg-td,87,4.2105934619903564,344.0
lpg-td,87,4.16825270652771,344.0
lpg-td,87,4.17336106300354,344.0
lpg-td,88,4.673222064971924,348.0
lpg-td,88,4.654245853424072,348.0
lpg-td,88,4.660053968429565,348.0
lpg-td,89,8.095541715621948,360.0
lpg-td,89,8.149651765823364,360.0
lpg-td,89,8.177215576171875,360.0
lpg-td,90,8.714194297790527,366.0
lpg-td,90,8.703272581100464,366.0
lpg-td,90,8.69598126411438,366.0
lpg-td,91,5.073002338409424,367.0
lpg-td,91,5.098000764846802,367.0
lpg-td,91,5.046040296554565,367.0
lpg-td,92,8.825374603271484,377.0
lpg-td,92,8.807680606842041,377.0
lpg-td,92,8.77687406539917,377.0
lpg-td,93,9.540607452392578,385.0
lpg-td,93,9.658791780471802,385.0
lpg-td,93,9.691012144088745,385.0
lpg-td,94,10.361106157302856,381.0
lpg-td,94,10.35181474685669,381.0
lpg-td,94,10.382855415344238,381.0
lpg-td,95,16.601723670959473,391.0
lpg-td,95,16.323631048202515,391.0
lpg-td,95,16.46827983856201,391.0
lpg-td,96,12.056090116500854,386.0
lpg-td,96,12.184245824813843,386.0
lpg-td,96,12.221840620040894,386.0
lpg-td,97,15.621249914169312,400.0
lpg-td,97,15.43784236907959,400.0
lpg-td,97,15.558492183685303,400.0
lpg-td,98,19.279974699020386,392.0
lpg-td,98,19.246503353118896,392.0
lpg-td,98,19.265670776367188,392.0
lpg-td,99,20.833061933517456,406.0
lpg-td,99,20.750924348831177,406.0
lpg-td,99,20.73710584640503,406.0
lpg-td,100,8.820570707321167,393.0
lpg-td,100,8.661783218383789,393.0
lpg-td,100,8.767601490020752,393.0
lpg-td,101,7.363394021987915,414.0
lpg-td,101,7.340754747390747,414.0
lpg-td,101,7.3412370681762695,414.0
lpg-td,102,8.030852794647217,413.0
lpg-td,102,7.974554061889648,413.0
lpg-td,102,8.065363883972168,413.0
lpg-td,103,10.611934900283813,412.0
lpg-td,103,10.477729797363281,412.0
lpg-td,103,10.627508640289307,412.0
lpg-td,104,8.332519292831421,418.0
lpg-td,104,8.282402038574219,418.0
lpg-td,104,8.238460540771484,418.0
lpg-td,105,9.236040353775024,418.0
lpg-td,105,9.076804161071777,418.0
lpg-td,105,9.126024961471558,418.0
lpg-td,106,9.061654806137085,422.0
lpg-td,106,9.081263065338135,422.0
lpg-td,106,8.94972538948059,422.0
lpg-td,107,9.829150915145874,441.0
lpg-td,107,9.912923574447632,441.0
lpg-td,107,9.792084693908691,441.0
lpg-td,108,11.247845888137817,434.0
lpg-td,108,11.208860397338867,434.0
lpg-td,108,11.200879335403442,434.0
lpg-td,109,11.976614475250244,436.0
lpg-td,109,11.761033296585083,436.0
lpg-td,109,11.735558271408081,436.0
lpg-td,110,19.686616897583008,422.0
lpg-td,110,19.711787462234497,422.0
lpg-td,110,19.589479446411133,422.0
lpg-td,111,18.489322185516357,426.0
lpg-td,111,18.573442220687866,426.0
